country,Google spottiness,google mirror spottiness,Google colour,Google n,Roulin spot count,Roulin spot size,Roulin old spottiness eqn,Roulin spottiness,Roulin colour,Roulin n
Arizona,4.285714286,3.714285714,6.714285714,7,27.4765625,21.078125,579.1544189,9587.739626,5.415384615,65
Australia,5.368421053,2.631578947,7.552631579,38,27.97163121,18.38736264,514.3245265,7427.566652,7.463648834,732
Czech Republic,3.833333333,4.166666667,2.833333333,6,40.25,19.52777778,785.9930556,12054.839,3.513888889,18
Denmark,3.9,4.1,2.2,10,29.71276596,14.74468085,438.1052512,5073.45388,3.43125,49
England,7.349206349,0.650793651,7.253968254,63,8.039506173,5.234567901,42.08334095,173.0138737,7.010416667,414
Florida,3.432432432,4.567567568,5.081081081,37,27.25462963,20.33333333,554.1774691,8850.082651,5.583333333,111
France,6.095238095,1.904761905,5.904761905,21,32.72340426,11.70153646,382.9141079,3519.120508,5.177083333,197
Germany,5,3,5.285714286,21,35.60188679,14.86346516,529.167404,6177.361758,3.480876866,536
Hungary,4.454545455,3.545454545,1.909090909,11,40.92307692,16.46153846,673.6568048,8709.615914,2.807692308,13
India,4.083333333,3.916666667,4.722222222,36,38.26296296,16.89568345,646.4789102,8578.670896,5.212230216,139
Italy,6.4,1.6,6.45,20,19.14867841,9.909586057,189.7554766,1476.861313,6.410907127,464
Netherlands,5.95,2.05,5.175,40,35.68060201,14.68666667,524.0291082,6044.613417,3.723463455,302
Poland,5.333333333,2.666666667,3.333333333,3,55,16.5,907.5,11760.35575,1.75,1
South Africa,3.4,4.6,5.96,25,31.43269231,29.71698113,934.0847242,21801.22212,3.849056604,53
Spain,5.769230769,2.230769231,6.769230769,13,28.6893617,11.48312236,329.4434509,2971.192243,5.97257384,237
Sweden,5,3,3,2,31.72619048,15.54761905,493.2667234,6023.315201,3.273809524,42
Switzerland,5.222222222,2.777777778,4.555555556,9,32.73219814,14.20688272,465.0225,5188.748767,4.659722222,328
Washington,5,3,5.25,12,29.71604938,22.87878788,679.8671904,12216.50498,4.443113773,167
