#,superregion,site/cluster,X,Y,darkbirds,light birds,total birds,%dark,radius,radius,Solar Radiation for shading,radiation/1000,log(radiation/1000),,,
1,kzn,AMATIKULU(MILL),31.52,-29.03,1,15,16,0.0625,1.6,1,638.7508216,0.638750822,-0.194668528,,,
2,fs,BLOEMFONTEIN - STA,26.18,-29.12,0,2,2,0,0.2,0.2,779.4311887,0.779431189,-0.10822222,,,
3,kzn,DURBAN W,30.95,-29.97,4,14,18,0.222222222,1.8,1,659.8335033,0.659833503,-0.180565637,,,
4,kzn,ENTUMENI MILL,31.3,-28.9,1,13,14,0.071428571,1.4,1,638.5008038,0.638500804,-0.194838552,,,
5,kzn,ESTCOURT,29.87,-29.02,0,4,4,0,0.4,0.4,704.6147263,0.704614726,-0.152048284,,,
6,ec,GRAHAMSTOW,26.5,-33.29,4,2,6,0.666666667,0.6,0.6,662.2006876,0.662200688,-0.179010373,,,
7,wc,HOEKO,21.37,-33.5,5,4,9,0.555555556,0.9,0.9,685.2186322,0.685218632,-0.164170836,,,
8,wc,JONKERSHOEK,18.93,-33.96,2,1,3,0.666666667,0.3,0.3,579.0749678,0.579074968,-0.237265208,,,
9,wc,kistenbosch,18.43,-33.98,65,15,80,0.8125,8,1,546.5199729,0.546519973,-0.262393962,,,
10,gp,KRUGERSDORP KRONINGSPAR,27.77,-26.1,1,18,19,0.052631579,1.9,1,765.7297463,0.765729746,-0.115924482,,,
11,kzn,PIETERMARITZBURG,30.4,-29.63,4,6,10,0.4,1,1,669.3456761,0.669345676,-0.174349538,,,
12,gp,SETTLERS,28.55,-24.95,0,4,4,0,0.4,0.4,752.2065318,0.752206532,-0.1236629,,,
13,wc,STRAN,18.85,-34.14,4,1,5,0.8,0.5,0.5,628.6224513,0.628622451,-0.201610112,,,
14,ec,UMTATA - AER,28.67,-31.53,3,0,3,1,0.3,0.3,682.7337097,0.68273371,-0.165748654,,,
15,gp,VAALWATER,28.05,-24.28,8,28,36,0.222222222,3.6,1,747.4004452,0.747400445,-0.126446648,,,
16,kzn,WALDECKE  HERMANNSBU,30.78,-29.02,6,1,7,0.857142857,0.7,0.7,664.1949992,0.664194999,-0.177704399,,,
17,mp,LYDENBURG,30.48,-25.11,0,8,8,0,0.8,0.8,725.6703803,0.72567038,-0.139260603,,,
18,mp,NELSPRUIT,30.67,-25.47,3,11,14,0.214285714,1.4,1,691.6476124,0.691647612,-0.160115118,,,
19,mp,WHITE RIVER,31,-25.32,0,4,4,0,0.4,0.4,673.3322923,0.673332292,-0.171770557,,,
20,mp,DULLSTROOM,30.1,-25.41,0,2,2,0,0.2,0.2,738.9028879,0.738902888,-0.131412636,,,
21,mp,ELANDS VALLEY,30.56,-25.59,0,6,6,0,0.6,0.6,671.5421696,0.67154217,-0.172926711,,,
22,mp,Barbeton,31.05,-25.78,0,4,4,0,0.4,0.4,668.0162965,0.668016297,-0.175212943,,,
23,ec,Port Elizabeth,25.6,-33.95,9,7,16,0.5625,1.6,1,665.8835615,0.665883562,-0.176601706,,,
24,ec,Fort Beaufort,26.61,-32.76,2,0,2,1,0.2,0.2,682.2465393,0.682246539,-0.166058659,,,
25,ec,Kenton on sea,26.66,-33.68,2,5,7,0.285714286,0.7,0.7,659.1046259,0.659104626,-0.18104564,,,
26,ec,Manubi Transkei,28.59,-32.45,0,1,1,0,0.1,0.1,664.8019799,0.66480198,-0.177307696,,,
27,ec,Queenstown,26.9,-32.32,1,1,2,0.5,0.2,0.2,715.5768948,0.715576895,-0.145343691,,,
28,ec,Transkei,28.6,-31.99,0,1,1,0,0.1,0.1,576.048296,0.576048296,-0.239541104,,,
29,fs,Botshabelo,26.21,-29.11,0,8,8,0,0.8,0.8,779.4311887,0.779431189,-0.10822222,,,
30,gp,Bela bela,28.38,-24.87,0,1,1,0,0.1,0.1,754.6226138,0.754622614,-0.122270184,,,
31,gp,Boksburg,28.21,-26.56,0,1,1,0,0.1,0.1,766.4267393,0.766426739,-0.115529352,,,
32,gp,Johannesburg,28.04,-26.2,3,16,19,0.157894737,1.9,1,766.6098122,0.766609812,-0.115425626,,,
33,gp,Magaliesburg,27.47,-25.95,0,4,4,0,0.4,0.4,761.1126201,0.76111262,-0.118551077,,,
34,gp,Pretoria,28.27,-25.8,0,6,6,0,0.6,0.6,760.1135144,0.760113514,-0.119121546,,,
35,gp,Vereeniging,27.94,-26.68,0,1,1,0,0.1,0.1,760.1135144,0.760113514,-0.119121546,,,
36,kzn,Natal midlands,30.36,-29.58,5,12,17,0.294117647,1.7,1,662.6024004,0.6626024,-0.178746995,,,
37,kzn,St Lucia Wetlands,32.72,-27.39,0,2,2,0,0.2,0.2,637.3398716,0.637339872,-0.195628911,,,
38,kzn,Durban ,31.02,-29.86,5,17,22,0.227272727,2.2,1,662.759586,0.662759586,-0.178643982,,,
39,kzn,Ndumo,32.24,-26.86,1,2,3,0.333333333,0.3,0.3,646.049879,0.646049879,-0.189733951,,,
40,kzn,Scottburgh,30.73,-30.29,0,2,2,0,0.2,0.2,652.4069242,0.652406924,-0.185481438,,,
41,kzn,Eshowe,31.48,-28.77,1,1,2,0.5,0.2,0.2,643.4745876,0.643474588,-0.1914686,,,
42,kzn,Escourt,29.8,-29.04,1,1,2,0.5,0.2,0.2,713.1022019,0.713102202,-0.146848223,,,
43,wc,Calitzdorp,21.69,-33.49,3,1,4,0.75,0.4,0.4,649.8329131,0.649832913,-0.187198296,,,
44,wc,Breede river,19.53,-33.76,2,1,3,0.666666667,0.3,0.3,679.2382373,0.679238237,-0.167977874,,,
45,wc,Grabouw,19.03,-34.17,2,1,3,0.666666667,0.3,0.3,615.1239728,0.615123973,-0.211037347,,,
46,wc,Hermanus,19.15,-34.41,1,3,4,0.25,0.4,0.4,652.4701905,0.652470191,-0.185439325,,,
47,wc,Mcgregor,19.6,-33.93,1,0,1,1,0.1,0.1,649.3833127,0.649383313,-0.187498876,,,
48,wc,Wocester,19.54,-33.59,3,2,5,0.6,0.5,0.5,655.8958794,0.655895879,-0.183165098,,,
49,wc,Riviersonderend,19.91,-34.13,1,1,2,0.5,0.2,0.2,579.0485868,0.579048587,-0.237284994,,,
50,wc,Yzerfontein,18.28,-33.38,1,0,1,1,0.1,0.1,683.8625783,0.683862578,-0.165031161,,,
