type,distance
pure,102054.8731037809
pure,121618.95754858853
pure,72806.80266132006
pure,196661.6322107075
pure,76332.73825128668
pure,67539.53215371947
pure,116835.04508051295
pure,45854.01881859638
pure,19740.322605579095
pure,76116.27803035868
pure,102174.89172236627
pure,18208.408528395943
pure,266440.334996511
pure,20717.97373258692
pure,18705.09802294008
pure,136602.76066983046
pure,135832.64528585435
pure,152502.49924799197
pure,266172.3924627057
pure,33181.53072776702
pure,102299.72419228953
pure,127147.15748041899
pure,19391.051372890197
pure,151362.5702525659
pure,104605.78481100459
pure,76477.07235616203
pure,76415.32945500512
pure,65198.21968579202
pure,155068.14169928487
pure,10380.490350259128
pure,170849.5318224179
pure,282028.6053132273
pure,133055.69841921094
pure,17095.246967327483
pure,1391.7214945234784
pure,65007.52121969288
pure,64070.13468868874
pure,48632.47367106624
pure,168861.18457228836
pure,133933.99294272612
pure,102150.99195438308
pure,160246.43318793422
pure,169011.04239331698
pure,25138.1988224694
pure,490206.07664434414
pure,217643.53143564775
pure,102287.70424662932
pure,155459.84966864
pure,68536.37738582528
pure,26971.335687079172
pure,63170.49717558881
pure,15121.598050938912
pure,82614.42032087577
pure,48209.7291333436
pure,74159.957001691
pure,111780.00430325403
pure,96039.89526430155
pure,54119.48468367237
pure,112047.57189320821
pure,63298.10554374254
pure,74403.20707375549
pure,69095.79294273315
pure,147592.71721718187
pure,122844.19872379744
pure,84182.8631401318
pure,14729.864537061074
pure,157706.90752111064
pure,76725.45282845711
pure,482890.0768378575
pure,157957.20599412633
pure,139604.30001444148
pure,280265.36005996005
pure,309491.7299394059
pure,212597.1935790098
pure,372239.0088832956
pure,423870.08290918387
pure,216535.238409009
pure,171953.09572829836
pure,387102.2837775287
pure,502006.97408226377
pure,76585.16332639303
pure,157592.00719283897
pure,112036.1941637891
pure,168979.5241521824
pure,75140.27425070861
pure,82011.81798001625
pure,73380.47739419722
pure,135370.75381285424
pure,76553.606232692
pure,92969.3930166596
pure,179968.6390836263
pure,19303.68727080851
pure,176904.98946026296
pure,419956.92867986206
pure,58100.04580042804
