type,distance
pure,70821.18275073727
pure,84482.47689903498
pure,21231.221480987464
pure,133736.8247520816
pure,135341.89172472776
pure,78207.00030124871
pure,49722.40205156236
pure,13677.728268636125
pure,31526.681649102415
pure,135139.8204215432
pure,70724.29757851397
pure,36509.16952860908
pure,260024.04079621524
pure,30653.478153049615
pure,21466.90462587936
pure,93519.34960719539
pure,98527.50382837212
pure,96664.58461505288
pure,259770.73424520725
pure,5459.551950000235
pure,70827.00629828963
pure,135388.76035857588
pure,31769.78146744744
pure,124385.26592756793
pure,131782.57033544872
pure,94797.70644287374
pure,94691.86636433541
pure,111132.387264667
pure,109468.68382376745
pure,45801.11047002454
pure,91734.76119944373
pure,274492.0947554779
pure,96426.79680906408
pure,55386.470728003864
pure,54230.84009723324
pure,110408.93933263337
pure,109801.72980943177
pure,11489.926042621932
pure,129928.53387400428
pure,95410.22216773411
pure,70855.98225524368
pure,94281.6870938792
pure,130015.51599664378
pure,34608.22150345456
pure,463634.0094020307
pure,145247.32424370656
pure,70859.28196826925
pure,124378.23030315143
pure,82696.52940082438
pure,64921.07655736926
pure,97648.23525842612
pure,53262.825961215734
pure,22886.47204486256
pure,106525.05765555272
pure,84212.39889263356
pure,122171.92341547507
pure,105273.15886260103
pure,68971.38015944893
pure,122378.90595421172
pure,77859.49963016777
pure,133326.851976463
pure,80898.7022366169
pure,78970.39208797594
pure,58413.10627372477
pure,94244.11493151054
pure,72217.49527440316
pure,166695.85757476446
pure,135724.3045565968
pure,456372.93393283663
pure,166975.41776962526
pure,149135.72712331873
pure,170801.36399181496
pure,253024.15578426523
pure,148483.2042537816
pure,385832.3725339247
pure,434423.54193914874
pure,152018.31241485212
pure,196908.80910357545
pure,401034.9922506707
pure,481719.4453482371
pure,135595.31729168078
pure,166523.5803410217
pure,122429.38750396378
pure,172986.83210395157
pure,134192.13857429274
pure,95048.9149926498
pure,132265.17003864856
pure,193931.93696865533
pure,135825.72735904102
pure,154896.35991031767
pure,169645.09723270984
pure,3988.3984633985906
pure,167194.25563326734
pure,430975.1520197496
pure,70061.24328041397
pure,148546.40897449324
pure,176072.27169461048
pure,153837.96554205898
pure,452778.5909122776
pure,75158.37510962594
pure,396248.6671955866
pure,149103.21072230084
pure,136711.13788444147
pure,193877.48665729217
pure,164004.10175309758
pure,258379.2478547069
pure,229233.48699049777
pure,98978.33757801802
pure,229281.1809820056
pure,197304.56812253865
pure,183732.73762825853
pure,170918.76628238388
pure,170911.4403858104
pure,168987.90458734112
pure,167647.7411672045
pure,167457.28997833002
pure,51704.878461212385
pure,197323.37011794036
pure,167564.53132777422
pure,163739.22601332245
pure,151876.9686006476
pure,78736.25066149526
pure,160642.36984911645
pure,129731.5354889512
pure,296701.13958613516
pure,157128.88869346897
pure,138495.0818963317
pure,271185.3865155684
pure,229233.48699049777
pure,221068.5849860852
pure,148484.858965793
pure,94938.93143472278
pure,5942.376502645996
pure,197979.51737647966
pure,455330.09955624945
pure,281584.8569867799
pure,45746.76977648622
pure,11953.759157569524
pure,8728.055442948304
pure,28180.11832915743
pure,11467.33370844948
pure,58058.496771782266
pure,166858.15492940485
pure,17200.623147569724
pure,17651.43309182246
pure,17224.156172705945
pure,17195.59459358699
pure,17246.6082419078
pure,17239.477847045186
pure,18179.939935593844
pure,18143.80868386267
pure,17773.07480821303
pure,18088.211278140552
pure,17651.43309182246
pure,27567.663588292646
pure,18036.536437913346
pure,23351.560436557957
pure,18263.079876847452
pure,105638.33184663783
pure,23351.560436557957
pure,105638.33184663783
pure,18277.82872882734
pure,18183.255912954817
pure,17622.634486416355
pure,17590.01103460864
pure,17623.066603730946
pure,18105.32044966529
pure,18105.715122867325
pure,101982.0606221821
pure,70821.18275073727
pure,16984.527293511102
pure,135139.8204215432
pure,179570.18078066368
pure,11716.222214493979
pure,2492.2909524937672
pure,65879.79596789344
pure,2492.2909524937672
pure,17775.994078118765
pure,23326.07109372077
pure,23367.78875106739
pure,22797.70746058627
pure,23225.987328071347
pure,27756.09554855161
pure,17802.047367260668
pure,145180.16538682583
pure,17221.106217081237
pure,147742.19883304468
pure,228472.16574865647
pure,66476.33518466781
pure,57655.31975152356
pure,141732.05697774934
pure,23351.560436557957
pure,23365.02000764794
pure,134838.65412867494
pure,147732.46624825586
pure,123368.23150056499
pure,89755.92756879827
pure,401151.5524918524
pure,401162.8557447692
pure,461352.5287346779
pure,16984.527293511102
pure,17778.98594938459
pure,228472.16574865647
pure,123784.20977815446
pure,34636.156279860894
pure,15091.388136656022
pure,29919.551920723734
pure,458510.5037416507
pure,459590.7941542184
pure,232892.57109777152
pure,397856.48399703926
pure,29285.11684209021
pure,458501.23080784566
pure,287771.94625169126
pure,135139.8204215432
pure,459532.4099807241
pure,233364.2794311979
pure,461130.95744479686
pure,74705.72281563505
pure,458281.7078889008
pure,467727.4201506811
pure,7376.5912487553105
pure,22036.924942780628
pure,459530.27383665333
pure,5626.506910126249
pure,26533.02543062348
pure,233890.73504247764
pure,460421.9326831564
pure,23653.876431155317
pure,894107.755823419
pure,458355.6185936061
pure,7376.5912487553105
pure,26550.840775749228
pure,48956.282009447714
pure,4246.349823233276
pure,9934.044216067585
pure,82789.0976169724
pure,23653.876431155317
pure,197154.71446449912
pure,170932.8745477644
pure,70830.58866366744
pure,63010.549729026934
pure,149052.22285640164
pure,51120.91591312224
pure,23294.252800934184
pure,90827.48193094629
pure,111078.0069171168
pure,135853.10197464458
pure,36646.46698391545
pure,149052.22285640164
pure,5742.464569342258
pure,3592.0898763280225
pure,172768.17024010757
pure,6001.117794037665
pure,143360.0827898089
pure,122538.7620557662
pure,25829.85124766532
pure,131795.21909014223
pure,153885.11201457382
pure,131499.2216930688
pure,131772.8340290033
pure,131680.37224443408
pure,140190.7292943888
pure,123604.0158107133
pure,118363.31673307566
pure,145037.1869431623
pure,123634.61440117375
pure,137238.44353372895
pure,132209.04273017496
pure,137236.60666260423
pure,17206.145275785977
pure,153837.96554205898
pure,5689.3246967754685
pure,63071.47698161301
pure,82611.53546636537
pure,162676.03054149356
pure,23305.124587265433
pure,153696.58614009418
hybrid,42461.65816248802
hybrid,24307.854556795202
hybrid,33514.8390220946
hybrid,79695.46468075611
hybrid,94902.55961100322
hybrid,23394.053250798013
hybrid,221068.5849860852
hybrid,9955.384505266064
hybrid,65869.41103749667
hybrid,35614.02389787248
hybrid,23351.560436557957
hybrid,23351.560436557957
hybrid,23351.560436557957
hybrid,23351.560436557957
hybrid,23351.560436557957
hybrid,34659.9384344509
hybrid,17949.93927528852
hybrid,2720.5399005858494
hybrid,16984.527293511102
hybrid,135139.8204215432
hybrid,149135.72712331873
hybrid,3162.8870244718605
hybrid,20518.166274497336
hybrid,23885.253780280953
hybrid,23352.041421239242
hybrid,88902.82066195906
hybrid,172801.58800584904
hybrid,5673.386523997008
hybrid,157340.02194462097
