type,distance
pure,81290.70602835518
pure,81377.01321322622
pure,54663.92570609444
pure,177107.86904129997
pure,80331.46509609644
pure,32983.6480226614
pure,124501.0341531307
pure,21852.67522446434
pure,51.89919819460427
pure,80332.12829972502
pure,81415.67973150419
pure,33882.16242443331
pure,332610.7660943554
pure,908.2169110645673
pure,40965.97627507305
pure,127266.01282255277
pure,128747.22130314671
pure,140312.07129170923
pure,332355.61086737
pure,12940.237262157389
pure,81540.3862038638
pure,141006.295503004
pure,402.0141721333111
pure,151241.26716060474
pure,60509.858666024695
pure,102963.5679528776
pure,102848.49261925851
pure,95769.12236648359
pure,128236.27561944071
pure,11355.213369927113
pure,123500.30398355976
pure,347200.7708178462
pure,126292.02434062598
pure,32768.42426355769
pure,21442.282700592907
pure,104214.60685332757
pure,94503.60166350236
pure,24360.16679392213
pure,211857.0674250987
pure,126024.82874624473
pure,81387.87680916068
pure,171804.20340261614
pure,212012.75956952857
pure,37535.991293363055
pure,464582.0200325393
pure,289850.0578595683
pure,81527.28420190135
pure,198632.35477892804
pure,84662.12585340577
pure,59584.66713087958
pure,94897.08064875663
pure,36613.92152457239
pure,31984.963127172898
pure,53550.632192201265
pure,38280.32214010697
pure,99782.14537997416
pure,58706.247991896525
pure,34465.05028950821
pure,100025.83044694492
pure,42419.9612183441
pure,78099.02663453194
pure,50845.07561583863
pure,151644.58281432083
pure,122929.35973076664
pure,49647.20326693465
pure,69592.47741873111
pure,115131.4239390229
pure,80495.73042800098
pure,457210.6173199256
pure,115476.47041309554
pure,99373.66048855313
pure,291999.2603876414
pure,248100.86526176136
pure,205764.3069158408
pure,395413.5032346441
pure,445034.2532973553
pure,209923.9113928207
pure,199472.8464715147
pure,410706.8943882614
pure,494012.5423299051
pure,80516.85663655863
pure,114820.9471858393
pure,100039.83864504981
pure,138379.3399656999
pure,79952.32365783109
pure,104693.17559656594
pure,76982.37766917217
pure,116410.47175634612
pure,83239.1187944867
pure,127117.8201108458
pure,168785.54580408745
pure,35800.659242041394
pure,165726.7439516007
pure,441462.2010499062
pure,42297.01998841672
pure,205828.6796945225
pure,232210.26493541143
pure,147798.2136457339
pure,458260.24583536957
pure,75970.00647496896
pure,406202.582043979
pure,222021.19328575127
pure,80733.73327418148
pure,116433.87240216859
pure,165144.05026927873
pure,206872.67981077373
pure,214676.21247377442
pure,86566.8368247196
pure,214761.1246253661
pure,204519.58062217856
pure,191986.08043324662
pure,176371.02538886465
pure,176328.03151857352
pure,167892.99574083195
pure,163189.3403179475
pure,168196.64686981903
pure,39819.09589501548
pure,204527.6211078725
pure,167929.41379235033
pure,157319.10346970387
pure,156467.94059057412
pure,151644.574679788
pure,147229.24315676105
pure,113284.70106962582
pure,245660.56049751738
pure,164782.07685848026
pure,142827.9048287926
pure,219349.59336256812
pure,214676.21247377442
pure,210442.07485239053
pure,205765.99801749876
pure,104488.82408945423
pure,6767.979819098112
pure,206489.16218842927
pure,465706.0452101589
pure,223678.22081725235
pure,33801.643108564014
pure,10392.359025789076
pure,6860.759889595987
pure,15519.57627565106
pure,14040.240133639723
pure,47315.2277324978
pure,168657.4001887087
pure,18961.231972426995
pure,19032.33818441414
pure,18952.684257512203
pure,19044.439231328462
pure,18916.454609146676
pure,18923.926455673827
pure,18024.098140851875
pure,18012.799704232108
pure,18926.151823739834
pure,18725.10712234011
pure,19032.33818441414
pure,5095.926501185566
pure,18795.442908477347
pure,40505.59162761454
pure,17921.388565859314
pure,90354.29651195763
pure,40505.59162761454
pure,90354.29651195763
pure,17927.515751642928
pure,18023.620902981744
pure,19125.161751337473
pure,19084.487615568796
pure,19054.981916708984
pure,18707.178387771506
pure,18727.746174670916
pure,177053.44840501086
pure,81290.70602835518
pure,34622.60371015667
pure,80332.12829972502
pure,185996.3507129929
pure,10146.248261910152
pure,14063.174756990484
pure,55162.97590673487
pure,14063.174756990484
pure,35372.27495235177
pure,40453.38788435162
pure,40512.18064940521
pure,40052.979437455244
pure,40727.5617512154
pure,25485.57107687041
pure,35391.17046714554
pure,126645.75406129661
pure,34947.625305879694
pure,123947.54158227298
pure,229192.97734565855
pure,88493.87029785437
pure,122007.98433285979
pure,143493.6500471121
pure,40505.59162761454
pure,40475.96521675998
pure,135534.10772822576
pure,151028.98492052566
pure,101710.3673595243
pure,133551.6730980034
pure,410963.3000946832
pure,410975.51053402695
pure,456371.99814759445
pure,34622.60371015667
pure,35374.58263553446
pure,229192.97734565855
