survey_id,Comments,Subspecies,Age,Sex,Photographer,Location,Colour Morph,Image Usable?,state,latitude,longitude,direct_link,visible_link,search_name,search_query,search_result_rank,search_result_id
3601,Emailed beaware@telus.net to check; location not exact - do not know; gave 4 other photos in this area,U.a. cinnamonum,Adult,,Unknown,"{""latitude"":51.00618669713557,""longitude"":-118.18878948688507}",Black,no,British Columbia,51.0061867,-118.1887895,http://revelstokebearaware.org/wp-content/uploads/Black-bear1.jpg,http://revelstokebearaware.org/about-bears/identify-a-bear/,Common Name,"""black bear""",1,3821
3602,Location in tags on http://fineartamerica.com/featured/black-bear-closeup-gary-langley.html,U.a. cinnamonum,Adult,,Gary Langley,"{""latitude"":44.44124804266267,""longitude"":-110.57884216308594}",Black,yes,Wyoming,44.44124804,-110.5788422,http://images.fineartamerica.com/images-medium-large-5/black-bear-closeup-gary-langley.jpg,http://fineartamerica.com/art/photographs/black+bear/all,Common Name,"""black bear""",2,3822
3603,Emailed photographer suzannjulien@charter.net - replied with co-ordinates; www.istockphoto.com/photo/sweetie-4635352,U.a. americanus,Adult,,Suzann Julien,"{""latitude"":61.17279221922671,""longitude"":-149.81857299804688}",Black,yes,Alaska,61.17279222,-149.818573,http://www.state.nj.us/dep/fgw/images/bear/bear_grass.jpg,http://www.state.nj.us/dep/fgw/bearfacts.htm,Common Name,"""black bear""",3,3823
3604,Not in W North America; Sent email to photographer jadimages@me.com - replied with co-ordinates,U.a. americanus,Juvenile,,Joye Ardyn Durham,"{""latitude"":35.61839762307025,""longitude"":-82.40886688232422}",Black,no,North Carolina,35.61839762,-82.40886688,http://beartrust-dev1.org/wp-content/uploads/2011/05/black-bear-cub.jpg,http://beartrust.org/american-black-bear,Common Name,"""black bear""",4,3824
3605,Emailed the website info@alpineinstitute.com; followed Wikimedia source to http://www.fs.usda.gov/main/tongass/home,U.a. emmonsii,Adult,,Unknown,"{""latitude"":56.74226824701118,""longitude"":-133.00537109375}",Black,yes,Alaska,56.74226825,-133.0053711,http://upload.wikimedia.org/wikipedia/commons/6/67/Black_bear_with_salmon.jpg,http://en.wikipedia.org/wiki/American_black_bear,Common Name,"""black bear""",5,3825
3606,Emailed website NCTC_webmaster@fws.gov for location - did not know,,Adult,,Unknown,"{""latitude"":44.45938423512624,""longitude"":-103.671875}",Black,no,South Dakota,44.45938424,-103.671875,http://upload.wikimedia.org/wikipedia/commons/0/02/Black_bear_large.jpg,http://en.wikipedia.org/wiki/American_black_bear,Common Name,"""black bear""",6,3826
3607,Emailed xdhaas@yahoo.com - did not know,,Adult,,Unknown,,Black,no,,,,http://www.wcti12.com/image/view/-/27294758/highRes/1/-/mralv6z/-/American-Black-Bear-jpg.jpg,,Common Name,"""black bear""",7,3827
3608,Location found on website http://www.lefteyepro.com/cgi-bin/store/imageFolio.cgi?action=view&link=MAMMALS&image=001070.jpg&img=0&search=black%20bear&cat=all&tt=&bool=and&tfile=tn_001070.jpg&numtolist=204&sortfiles=2,U.a. altifrontalis,Adult,,Steven Kazlowski,"{""latitude"":47.910926432634916,""longitude"":-124.00482177734375}",Black,yes,Washington,47.91092643,-124.0048218,http://westernwildlife.org/wp-content/uploads/2009/08/photo-5-BBonLog_StevenKazlowski.jpg,http://westernwildlife.org/black-bear-outreach-project/black-bear-ursus-americanus/,Common Name,"""black bear""",8,3828
3609,"Emailed environment.yukon@gov.yk.ca for exact location - did not know exact, somewhere in Yukon",U.a. americanus,Adult,,Yukon Government,"{""latitude"":62.54913241889682,""longitude"":-136.279296875}",Black,yes,Yukon Territory,62.54913242,-136.2792969,http://www.env.gov.yk.ca/animals-habitat/mammals/images/black_bear_000.jpg,http://www.env.gov.yk.ca/animals-habitat/mammals/blackbear.php,Common Name,"""black bear""",9,3829
3610,Not in W North America; emailed webmaster@firstpeople.us - do not know exact location,U.a. americanus,Adult,,Unknown,"{""latitude"":35.84689038012163,""longitude"":-86.8408203125}",Black,no,Tennessee,35.84689038,-86.84082031,http://www.firstpeople.us/pictures/bear/1600x1200/Black_Bear_Tennessee-1600x1200.jpg,http://www.firstpeople.us/pictures/bear/Black-Bear-Tennessee-1600x1200.html,Common Name,"""black bear""",10,3830
3611,Emailed info@cottonwoodphotography.com for exact location - replied with co-ordinates,U.a. cinnamonum,Adult,,Jess Thompson,"{""latitude"":44.94829928885194,""longitude"":-110.46777725219727}",Black,yes,Wyoming,44.94829929,-110.4677773,http://cdn.c.photoshelter.com/img-get/I0000AjIiP5fh5oA/s/860/688/Black-Bear-8589.jpg,http://cottonwoodphoto.photoshelter.com/image/I0000AjIiP5fh5oA,Common Name,"""black bear""",11,3831
3612,Not in W North America; Emailed photographer on fineartamerica.com - replied with location,U.a. americanus,Adult,,Duane Cross,"{""latitude"":44.1564536,""longitude"":-71.6984172}",Black,no,New Hampshire,44.1564536,-71.6984172,http://www.wildlife.state.nh.us/Hunting/Hunting_images/black_bear_Duane_Cross_photo.jpg,http://www.wildlife.state.nh.us/Hunting/Hunt_species/hunt_bear.htm,Common Name,"""black bear""",12,3832
3613,Location from http://www.gettyimages.com/detail/photo/black-bear-manning-provincial-park-british-high-res-stock-photography/98724551,U.a. altifrontalis,Adult,,James Hager,"{""latitude"":49.08296595793747,""longitude"":-120.82977294921875}",Black,yes,British Columbia,49.08296596,-120.8297729,http://i.telegraph.co.uk/multimedia/archive/03047/Black_bear_BM1T2D_3047647b.jpg,http://www.telegraph.co.uk/news/worldnews/northamerica/usa/11114958/New-Jersey-hiker-killed-by-black-bear.html,Common Name,"""black bear""",13,3833
3614,Cannot find original photographer,,Adult,,,"{""latitude"":45.20731114149844,""longitude"":-105.078125}",Black,no,Montana,45.20731114,-105.078125,http://images4.fanpop.com/image/photos/16400000/Black-Bear-bears-16439281-1555-1600.jpg,http://www.fanpop.com/clubs/bears/images/16439281/title/black-bear-photo,Common Name,"""black bear""",14,3834
3615,"Emailed www.adfg.alaska.gov for exact location - said SE Alaska, not exact; emailed photographer John Hyde wildthings@gci.net",U.a. americanus,Adult,,John Hyde,"{""latitude"":60.669220823542254,""longitude"":-154.208984375}",Black,yes,Alaska,60.66922082,-154.2089844,http://www.adfg.alaska.gov/static/species/speciesinfo/blackbear/images/blackbear.jpg,http://www.adfg.alaska.gov/index.cfm?adfg=blackbear.main,Common Name,"""black bear""",15,3835
3616,"Captive bear, emailed sybil@sybilsden.com - was bred in captivity by a registered breeder",,Adult,Female,Pat,"{""latitude"":40.30688177210603,""longitude"":-102.96875}",Black,no,Colorado,40.30688177,-102.96875,http://sybilsden.com/agallery/page-img/sybil/IMG_6987.JPG,http://sybilsden.com/bear/bearmain.htm,Common Name,"""black bear""",16,3836
3617,Cannot find original photographer,,Adult,,Unknown,"{""latitude"":48.56944357474093,""longitude"":-105.78125}",Black,no,Montana,48.56944357,-105.78125,http://wp.production.patheos.com/blogs/acitizenofearth/files/2013/05/black-bear-standing.jpg,http://www.patheos.com/blogs/acitizenofearth/2013/05/the-religion-of-bears/,Common Name,"""black bear""",17,3837
3618,Location found on www.flickr.com/photos/10299779@N03/2874265346,U.a. cinnamonum,Adult,,Harvey Barrison,"{""latitude"":51.41900705359189,""longitude"":-116.21379852294922}",Black,yes,Alberta,51.41900705,-116.2137985,http://upload.wikimedia.org/wikipedia/commons/6/6e/Canadian_Rockies_-_the_bear_at_Lake_Louise.jpg,http://en.wikipedia.org/wiki/Fauna_of_Louisiana,Common Name,"""black bear""",18,3838
3619,Not in W North America; Captive bear in the Grandfather Mountain state park,U.a. americanus,Adult,,Ken Thomas,"{""latitude"":36.090160598930346,""longitude"":-81.8354320526123}",Black,no,North Carolina,36.0901606,-81.83543205,https://upload.wikimedia.org/wikipedia/commons/7/76/Black_Bear-27527.jpg,,Common Name,"""black bear""",19,3839
3620,Not in W North America; Captive bear in Cincinnati Zoo,U.a. americanus,Adult,,Unknown,"{""latitude"":39.117399640529726,""longitude"":-84.50897216796875}",Black,no,Ohio,39.11739964,-84.50897217,http://cincinnatizoo.org/wp-content/uploads/2011/02/connie-lemperle-black-bear-web.jpg,http://cincinnatizoo.org/blog/animals/american-black-bear/,Common Name,"""black bear""",20,3840
3621,Not in W North America; Female with 5 juveniles - added separately; Location from website; Emailed photographer Tom Sears info@digitalphotographics.us - replied with co-orindates,U.a. americanus,Adult,Female,Tom Sears,"{""latitude"":43.5689442,""longitude"":-71.49862200000001}",Black,no,New Hampshire,43.5689442,-71.498622,http://www.bear.org/website/images/stories/images/images-new/black_bear_w_5_cubs_nh_june_2007.jpg,http://www.bear.org/website/bear-pages/black-bear/reproduction.html,Common Name,"""black bear""",18,3841
3622,Emailed photographer desiree@desireepatterson.com for location - replied,U.a. altifrontalis,Adult,,Desiree Patterson,"{""latitude"":50.0591666,""longitude"":-122.9569444}",Black,yes,British Columbia,50.0591666,-122.9569444,http://geology.com/stories/13/bear-areas/black-bear.jpg,,Common Name,"""black bear""",19,3842
3623,Not in W North America; Emailed photographer info@binns.net for location - replied with co-ordinates,U.a. americanus,Adult,,Keith Binns,"{""latitude"":45.650509989589146,""longitude"":-79.85137329101565}",Black,no,Ontario,45.65050999,-79.85137329,http://cwf-fcf.org/assets/images/resources/newsletters/wildlife-update/2009/sep09/black-bear-480.jpg,,Common Name,"""black bear""",20,3843
3624,Not in W North America; Captive bear at Parc Oméga,U.a. americanus,Adult,,Simon Pierre Barrette,"{""latitude"":45.688534,""longitude"":-74.95966900000002}",Black,no,Québec,45.688534,-74.959669,http://upload.wikimedia.org/wikipedia/commons/c/ca/Ursus_americanus_PO_06.jpg,,Scientific Name,"""Ursus americanus""",1,3924
3625,Emailed dl@discoverlife.org and cdevore@anthrophoto.com for location - do not know,U.a. americanus,Adult,,Roger Barbour (deceased),"{""latitude"":45.54489370327234,""longitude"":-108.32167075000001}",Black,no,Montana,45.5448937,-108.3216708,"http://www.discoverlife.org/im/I_RB/0000/320/Ursus_americanus,I_RB44.jpg",,Scientific Name,"""Ursus americanus""",2,3925
3626,Not in W North America; Captive bear at Parc Oméga,U.a. americanus,Adult,,Simon Pierre Barrette,"{""latitude"":45.688534,""longitude"":-74.95966900000002}",Black,no,Québec,45.688534,-74.959669,http://upload.wikimedia.org/wikipedia/commons/1/18/Ursus_americanus_PO_03.jpg,,Scientific Name,"""Ursus americanus""",3,3926
3627,Not in W North America; Captive bear at Parc Oméga,U.a. americanus,Adult,,Simon Pierre Barrette,"{""latitude"":45.688534,""longitude"":-74.95966900000002}",Black,no,Québec,45.688534,-74.959669,http://upload.wikimedia.org/wikipedia/commons/b/bc/Ursus_americanus_PO_04.jpg,,Scientific Name,"""Ursus americanus""",4,3927
3628,"Female with 2 juveniles (1 black, 1 brown - added separately); Location from http://www.fs.fed.us/database/feis/animals/mammal/uram/all.html; Emailed US Forest Service http://www.fs.fed.us/about-agency/contact-us to check",U.a. pugnax,Adult,Female,Unknown,"{""latitude"":56.1795668,""longitude"":-131.88518290000002}",Black,yes,Alaska,56.1795668,-131.8851829,http://www.fs.fed.us/database/feis/animals/mammal/uram/bear.jpg,,Scientific Name,"""Ursus americanus""",5,3928
3629,Location from www.klausbrodersen.dk/HighRes/Ursus.htm,U.a. cinnamonum,Adult,,Klaus Brodersen,"{""latitude"":52.90720196847131,""longitude"":-118.05422191796873}",Black,yes,Alberta,52.90720197,-118.0542219,http://www.klausbrodersen.dk/HighRes/Ursus_americanus_4.jpg,,Scientific Name,"""Ursus americanus""",6,3929
3630,Found location on www.flickr.com/photos/taniaseyes/7971621546/in/photostream/,U.a. altifrontalis,Adult,,Tania Simpson,"{""latitude"":49.7413892,""longitude"":-119.7631146}",Black,yes,British Columbia,49.7413892,-119.7631146,https://c1.staticflickr.com/9/8034/7971621546_45c95afe27_z.jpg,,Scientific Name,"""Ursus americanus""",7,3930
3631,Not in W North America; Female (2 juveniles added separately); Emailed Sam Jamke asknh@amc-nh.org and regionaldirectornh@amc-nh.org - replied with location,U.a. americanus,Adult,Female,Sam Jamke,"{""latitude"":44.28935028365797,""longitude"":-71.27996042871092}",Black,no,New Hampshire,44.28935028,-71.27996043,"http://amc-nh.org/resources/guides/mammals/images/Ursus%20americanus_North%20American%20black%20bear_primary_1_Mt.%20Washington%20Auto%20Rd.,%20NH_20090613_Sam%20Jamke_IMG2689%20.jpg",http://amc-nh.org/resources/guides/mammals/species-gallery.php?Species=Ursus americanus,Scientific Name,"""Ursus americanus""",8,3931
3632,Not in W North America; Captive bear at Parc Oméga,U.a. americanus,Adult,,Simon Pierre Barrette,"{""latitude"":45.688534,""longitude"":-74.95966900000002}",Black,no,Québec,45.688534,-74.959669,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Ursus_americanus_PO_2.ogv/1280px--Ursus_americanus_PO_2.ogv.jpg,,Scientific Name,"""Ursus americanus""",9,3932
3633,Duplicate image; Location from www.klausbrodersen.dk/HighRes/Ursus.htm; same bear as prev photo?,U.a. cinnamonum,Adult,,Klaus Brodersen,"{""latitude"":52.91227465629919,""longitude"":-118.05199032006834}",Black,no,Alberta,52.91227466,-118.0519903,http://www.klausbrodersen.dk/HighRes/Ursus_americanus_2.jpg,,Scientific Name,"""Ursus americanus""",10,3933
3634,Female and juvenile (brown) - added separately; Location from magnusonkimball.photoshelter.com/image/I0000a9QlexY8MTs; Emailed for exact location - replied,U.a. cinnamonum,Adult,Female,Barbara Magnuson / Larry Kimball,"{""latitude"":44.913096,""longitude"":-110.41548499999999}",Black,yes,Wyoming,44.913096,-110.415485,http://cdn.c.photoshelter.com/img-get/I0000a9QlexY8MTs/s/850/850/Black-Bear-Ursus-americanus-MmBr-0187.jpg,,Scientific Name,"""Ursus americanus""",11,3934
3635,"Not in W North America; Location taken from quote on page: ""This one ambled past my yard in Carroll Co., VA at 7:30 pm on 5/29/2005.""",U.a. americanus,Juvenile,,Will Cook,"{""latitude"":36.6778699,""longitude"":-80.72144170000001}",Black,no,Virginia,36.6778699,-80.7214417,http://www.carolinanature.com/mammals/blackbear1958b.jpg,,Scientific Name,"""Ursus americanus""",12,3935
3636,Black female and juvenile (brown) - need to add!; Emailed tomreichner@yahoo.com - replied,U.a. altifrontalis,Adult,Female,Tom Reichner,"{""latitude"":48.19988009999999,""longitude"":-118.86780039999996}",Black,yes,Washington,48.1998801,-118.8678004,http://media.jungledragon.com/images/414/5952_large.jpg?AWSAccessKeyId=05GMT0V3GWVNE7GGM1R2&Expires=1429747210&Signature=lpZ9edBrTRSGeH%2F%2Fv4VZ9L8MHb0%3D,http://www.jungledragon.com/image/5952/american_black_bear_sow_and_a_cinnamon-phase_cub.html,Scientific Name,"""Ursus americanus""",13,3936
3637,Not in W North America; Location from http://www.carolinanature.com/mammals/blackbear.html,U.a. americanus,Juvenile,,Will Cook,"{""latitude"":36.6778699,""longitude"":-80.72144170000001}",Black,no,Virginia,36.6778699,-80.7214417,http://www.carolinanature.com/mammals/blackbear1961c.jpg,,Scientific Name,"""Ursus americanus""",14,3937
3638,No visible link; Emailed Bob.Barbour.Photographer@gmail.com for location - hasn't replied,,Adult,,Bob Barbour,"{""latitude"":27.6648274,""longitude"":-81.51575350000002}",Black,no,Florida,27.6648274,-81.5157535,http://cdn.c.photoshelter.com/img-get/I0000wLXhBpgsKnc/s/860/860/Black-Bear-feeding-RT-IMG-0128.jpg,,Scientific Name,"""Ursus americanus""",16,3938
3639,"Emailed seapicshawaii@gmail.com, info@seapics.com - haven't replied",,Adult,,SeaPics.com,"{""latitude"":47.866723737066394,""longitude"":-106.8359375}",Black,no,Montana,47.86672374,-106.8359375,http://seapics.com/assets/pictures/044766-450-black-bear.jpg,,Scientific Name,"""Ursus americanus""",17,3939
3640,Not in W North America; Found location on digitalmedia.fws.gov/cdm/singleitem/collection/natdiglib/id/9936/rec/3,U.a. americanus,Adult,,Steve Hillebrand,"{""latitude"":35.79276,""longitude"":-75.87663299999997}",Black,no,North Carolina,35.79276,-75.876633,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Big_black_bear_detailed_ursus_americanus.jpg/1280px-Big_black_bear_detailed_ursus_americanus.jpg,,Scientific Name,"""Ursus americanus""",18,3940
3641,Not in W North America; Female with 4 juveniles; Captive at Parc Oméga,U.a. americanus,Adult,,Simon Pierre Barette,"{""latitude"":45.688534,""longitude"":-74.95966900000002}",Black,no,Québec,45.688534,-74.959669,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Ursus_americanus_PO_4.ogv/220px--Ursus_americanus_PO_4.ogv.jpg,,Scientific Name,"""Ursus americanus""",19,3941
3642,Duplicate image,,,,,,,no,,,,http://imagess3.enature.com/mammals/mammals_l/ma0013_1l.jpg,,Scientific Name,"""Ursus americanus""",20,3942
3643,Duplicate image,,,,,,,no,,,,"http://www.discoverlife.org/IM/I_RB/0000/320/Ursus_americanus,I_RB44.jpg",,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",12,3943
