survey_id,Photographer,Location,Comments,Species,Age,Image Usable?,Sex,state,latitude,longitude,direct_link,visible_link,search_name,search_query,search_result_rank,search_result_id
6130,Dick Daniels,"{""latitude"":56.415157,""longitude"":-5.471046999999999}",Emailed Dick Daniels dick@carolinabirds.org for location in Scotland - replied and gave extra photo,Hooded crow,Adult,yes,,Scotland,56.415157,-5.471047,http://upload.wikimedia.org/wikipedia/commons/6/68/Hooded_Crow_scotland_RWD.jpg,http://commons.wikimedia.org/wiki/File:Hooded_Crow_scotland_RWD.jpg,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",1,16093
6131,Nigel Forrow,"{""latitude"":56.69538799999999,""longitude"":-5.571178000000032}",Location in Scotland from website,Hooded crow,Adult,yes,,Scotland,56.695388,-5.571178,http://www.nigelforrow.co.uk/imgs/gallerylarge/dfb_10027_13168364.jpeg,http://www.nigelforrow.co.uk/hooded-crow-finds-a-crab,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",2,16094
6132,,,no,,,no,,,,,"http://www.rspb.org.uk/Images/hoodedcrow_tcm9-18294.jpg?width=530&crop=(312,472,1264,1008)",http://www.rspb.org.uk/discoverandenjoynature/discoverandlearn/birdguide/name/h/hoodedcrow/,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",3,16095
6133,Drumimages.co.uk,"{""latitude"":55.8650521684875,""longitude"":-5.41410596295168}",Location in Scotland from website,Hooded crow,Adult,yes,,Scotland,55.86505217,-5.414105963,http://cdn.c.photoshelter.com/img-get/I00005Yf_veehJPI/s/860/860/Hooded-Crow005.jpg,http://drumimages.photoshelter.com/image/I00005Yf_veehJPI,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",4,16096
6134,,,Broken link? Cannot see image,,,,,,,,http://imgc.artprintimages.com/images/art-print/keith-ringland-hooded-crow-portrait-scotland_i-G-35-3526-7C84F00Z.jpg,http://www.art.co.uk/products/p14867592-sa-i3518695/keith-ringland-hooded-crow-portrait-scotland.htm,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",5,16097
6135,FLPA,"{""latitude"":56.52389739835858,""longitude"":-6.802768586913999}",Location in Scotland from website,Hooded crow,Adult,yes,,Scotland,56.5238974,-6.802768587,http://c8.alamy.com/comp/BWW07M/hooded-crow-corvus-corone-cornix-juvenile-perched-on-rock-tiree-inner-BWW07M.jpg,http://www.alamy.com/stock-photo-hooded-crow-corvus-corone-cornix-juvenile-perched-on-rock-tiree-inner-33125784.html,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",6,16098
6136,Snowmanradio,"{""latitude"":52.52293119405455,""longitude"":13.403924031738256}",Location in Germany from website,Hooded crow,Adult,yes,,Germany,52.52293119,13.40392403,"http://upload.wikimedia.org/wikipedia/commons/5/5d/Corvus_cornix_-Berlin,_Germany-8.jpg",http://en.wikipedia.org/wiki/Hooded_crow,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",7,16099
6137,Barry R. Dyke,"{""latitude"":56.49067119999999,""longitude"":-4.2026458000000275}",Emailed Barry R. Dyke barry.r.dyke@facebook.com and commented on Flickr for location in Scotland,Hooded crow,Adult,,,Scotland,56.4906712,-4.2026458,https://c2.staticflickr.com/4/3003/3014430605_6633a62f42_b.jpg,https://www.flickr.com/photos/bazza1956/3014430605/,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",8,16100
6138,Andreas Trepte,"{""latitude"":54.2582016,""longitude"":12.36176660000001}",Co-ordinates in Germany from website,Hooded crow,Adult,yes,,Germany,54.2582016,12.3617666,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Nebelkr蘝he_Corvus_cornix.jpg/300px-Nebelkr蘝he_Corvus_cornix.jpg,http://en.wikipedia.org/wiki/Hooded_crow,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",9,16101
6139,Duncan Bye & Brian Chambers,"{""latitude"":57.418914,""longitude"":-5.708556000000044}",Location in Scotland from website,Hooded crow,Adult,yes,,Scotland,57.418914,-5.708556,"http://www.gonebirding.org/images/Hooded Crow, Scotland 2009  2.jpg",http://www.gonebirding.org/Ult_Scotland_2009_Tour_Report.htm,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",10,16102
