province ,location,co ordinates,morph,sex,age,notes/observation,bird condition
Western Cape,Calitzdorp,S33.508911  E21.602017,dark,male,adult,nest,1
Western Cape,Calitzdorp,S33.493942 E21.698822,dark,male,adult,nest,1
Western Cape,Calitzdorp,S33.493942 E21.698822,dark,female,adult,nest,1
Western Cape,Wocester,S33.592317 E19.309753,dark,male,adult,nest,1
Western Cape,Wocester,S33.690975 E19.436033,dark,female,adult,nest,1
Western Cape,Wocester,S33.5977 E19.54115,dark,male,adult,nest,1
Western Cape,Breede River,S33.767750 E19.535997,dark,male,adult,nest,1
Western Cape,Breede River,S33.774189 E19.624074,dark,male,adult,nest,1
Western Cape,McGregor,S33.934070 E19.607585,dark,female,adult,nest,1
Western Cape,Riviersonderend,S34.138542 E19.919802,dark,male,adult,nest,1
Western Cape,Grabouw,S34.171531 E19.035659,dark,female,adult,nest,1
Western Cape,Grabouw,S34.218850 E19.061732,dark,male,adult,nest,1
Western Cape,Hermanus,S34.408511 E19.158201,dark,male,adult,incidental,1
Western Cape,Yzerfontein,S33.383333 E18.266667,dark,female,adult,incidental,1
Eastern Cape,Kenton on Sea,S33.64014 E26.69172,dark,female,adult,nest,1
Eastern Cape,Kenton on Sea,S33.64014 E26.69172,dark,male,adult,nest,1
Eastern Cape,Queenstown,S32.32774 E26.90018,dark,female,adult,nest,1
Eastern Cape,Fort Beaufort,S32.76524 E26.61631,dark,female,adult,nest,1
Eastern Cape,Fort Beaufort,S32.76524 E26.61631,dark,male,adult,nest,1
Eastern Cape,Port Elizabeth,S33.98064 E25.60664,dark,female,adult,nest,1
Eastern Cape,Port Elizabeth,S33.98064 E25.60664,dark,male,adult,nest,1
Eastern Cape,Port Elizabeth,S33.958056 E25.600000,dark,female,adult,incidental,1
Eastern Cape,Port Elizabeth,S33.98622 E25.53031,dark,male,adult,nest,1
Eastern Cape,Port Elizabeth,S33.958056 E25.600000,dark,female,adult,nest,1
Eastern Cape,Port Elizabeth,S33.958056 E25.600000,dark,female,adult,incidental,1
Eastern Cape,Port Elizabeth,S33.958056 E25.600000,dark,male,adult,incidental,1
Eastern Cape,Port Elizabeth,S33.958056 E25.600000,dark,male,adult,incidental,1
Gauteng,Krugersdorp,S26.139 E27.716,dark,male,adult,nest,1
Gauteng,Johannesburg,S26.130250 E 27.881788,dark,female,adult,nest,1
Gauteng,Johannesburg,S26.072276 E27.814819,dark,female,adult,incidental,1
Mpumalanga,"Crocodile valley, Nelspruit",S25.486599 E31.043572,dark,female,adult,nest,1
Mpumalanga,"Crocodile valley, Nelspruit",S25.465282 E31.035562,dark,female,adult,nest,1
Mpumalanga,Nelspruit,S25.507029 E30.996184,dark,male,adult,nest,1
Kwazulu Natal,Ndumo,S26.90543 E32.30192,dark,female,adult,incidental,1
Kwazulu Natal,Umhlanga,S29.729168 E31.086330,dark,female,adult,incidental,1
