station,lat,long,superregion
AMATIKULU(MILL),-29.03,31.52,kzn
BLOEMFONTEIN - STA,-29.12,26.18,kzn
DURBAN W,-29.97,30.95,kzn
ENTUMENI MILL,-28.9,31.3,kzn
ESTCOUR,-29.02,29.87,kzn
GRAHAMSTOW,-33.29,26.5,kzn
HOEKO,-33.5,21.37,wc
JONKERSHOE,-33.96,18.93,wc
KIRSTENBOSCH,-33.98,18.43,wc
KRUGERSDORP KRONINGSPAR,-26.1,27.77,gauteng
PIETERMARITZBUR,-29.63,30.4,kzn
SETTLERS,-24.95,28.55,gauteng
STRAN,-34.14,18.85,wc
UMTATA - AER,-31.53,28.67,kzn
VAALWATER.,-24.28,28.05,gauteng
WALDECKE  HERMANNSBU,-29.02,30.78,kzn
LYDENBURG,-25.11,30.48,gauteng
